Algorithm,N,k,Alphabet Size,Total Time,Preprocessing Time
7,100000,1,256,0.002633,0.002622
7,100000,10,256,0.002283,0.002185
7,100000,100,256,0.003035,0.002535
7,100000,1000,256,0.015609,0.002212
7,100000,10000,256,1.011837,0.002111
7,1000000,1,256,0.023883,0.023860
7,1000000,10,256,0.023903,0.022777
7,1000000,100,256,0.024744,0.022884
7,1000000,1000,256,0.038894,0.022208
7,1000000,10000,256,1.467880,0.025138
7,1000000,100000,256,104.128302,0.022257
7,10000000,1,256,0.472885,0.441991
7,10000000,10,256,0.463784,0.424692
7,10000000,100,256,0.469609,0.424047
7,10000000,1000,256,0.479220,0.416291
7,10000000,10000,256,2.267204,0.414793
7,10000000,100000,256,null,null
7,100000000,1,256,21.773470,21.196481
7,100000000,10,256,22.799495,21.635384
7,100000000,100,256,24.921640,21.189193
7,100000000,1000,256,23.531184,20.883594
7,100000000,10000,256,39.614744,21.967275
7,100000000,100000,256,null,null
7,1000000000,1,256,error,error
7,1000000000,10,256,error,error
7,1000000000,100,256,error,error
7,1000000000,1000,256,error,error
7,1000000000,10000,256,error,error
7,1000000000,100000,256,error,error
8,100000,1,256,0.905453,0.905443
8,100000,10,256,0.615106,0.615088
8,100000,100,256,0.447505,0.447283
8,100000,1000,256,0.317709,0.304127
8,100000,10000,256,1.151947,0.112204
8,1000000,1,256,12.567383,12.567365
8,1000000,10,256,9.026735,9.026707
8,1000000,100,256,7.001136,7.000897
8,1000000,1000,256,4.958968,4.944597
8,1000000,10000,256,4.132169,2.799457
8,1000000,100000,256,105.432373,1.269546
8,10000000,1,256,200.998732,200.998707
8,10000000,10,256,486.388536,486.388471
8,10000000,100,256,108.081670,108.081386
8,10000000,1000,256,83.896190,83.880910
8,10000000,10000,256,61.005260,59.307205
8,10000000,100000,256,null,null
8,100000000,1,256,null,null
8,100000000,10,256,null,null
8,100000000,100,256,null,null
8,100000000,1000,256,null,null
8,100000000,10000,256,null,null
8,100000000,100000,256,null,null
8,1000000000,1,256,null,null
8,1000000000,10,256,null,null
8,1000000000,100,256,null,null
8,1000000000,1000,256,null,null
8,1000000000,10000,256,null,null
8,1000000000,100000,256,null,null
9,100000,1,256,0.005124,0.005072
9,100000,10,256,0.004660,0.004596
9,100000,100,256,0.005349,0.004146
9,100000,1000,256,0.047051,0.003100
9,100000,10000,256,4.331740,0.009127
9,1000000,1,256,0.045564,0.044569
9,1000000,10,256,0.034987,0.034052
9,1000000,100,256,0.049367,0.047756
9,1000000,1000,256,0.068458,0.022967
9,1000000,10000,256,4.968459,0.050901
9,1000000,100000,256,null,null
9,10000000,1,256,0.273552,0.261834
9,10000000,10,256,0.288253,0.276109
9,10000000,100,256,0.305097,0.292350
9,10000000,1000,256,0.302204,0.252755
9,10000000,10000,256,4.330858,0.257275
9,10000000,100000,256,null,null
9,100000000,1,256,error,error
9,100000000,10,256,error,error
9,100000000,100,256,error,error
9,100000000,1000,256,error,error
9,100000000,10000,256,error,error
9,100000000,100000,256,error,error
9,1000000000,1,256,error,error
9,1000000000,10,256,error,error
